ROW,SITE,TREATMENT,FENCE,NPK.ADDED,MAT,MAP,SOLAR.INS,N.DEPOSITION,GRAZING.INDEX,SOIL.PCT.N,TOTAL.AG.BIOMASS,PERCENT.GRASS.BIOMASS,plant.NPK,plant.N,plant.P,plant.K
42,cowi.ca,Control,0,0,9.8,764,6.9548,3.681,3,0.404,1035.8,0.86995559,4.004025636,1.6293715,0.216614856,2.15803928
43,cowi.ca,NPK_Fence,1,1,9.8,764,6.9548,3.681,3,0.427,908.9,0.99,4.80319,1.7,0.35072,2.75247
44,cowi.ca,Fence,1,0,9.8,764,6.9548,3.681,3,0.395,535.9,0.938607949,4.541802565,1.908717838,0.242958308,2.390126419
45,cowi.ca,NPK_Fence,1,1,9.8,764,6.9548,3.681,3,0.391,902,0.925166297,4.527116532,1.836497063,0.247127765,2.443491704
46,cowi.ca,NPK,0,1,9.8,764,6.9548,3.681,3,0.441,906.4,0.955759047,4.921758484,1.663973963,0.313402949,2.944381572
47,cowi.ca,NPK_Fence,1,1,9.8,764,6.9548,3.681,3,0.438,920,0.99,6.70756,2.07,0.42814,4.20942
48,cowi.ca,Control,0,0,9.8,764,6.9548,3.681,3,0.413,926.1,0.961019328,4.469894632,1.993610354,0.214847203,2.261437074
49,cowi.ca,NPK,0,1,9.8,764,6.9548,3.681,3,0.39,1011,0.956973294,4.555800225,1.925224295,0.253534332,2.377041598
50,cowi.ca,Fence,1,0,9.8,764,6.9548,3.681,3,0.382,760,0.99,3.97273,1.38,0.22896,2.36377
51,gilb.za,NPK,0,1,13.1,926,8.9072608,5.0344,5,1.258,364.3,0.597309909,2.698504088,1.632501671,0.141825786,0.924176631
52,gilb.za,NPK_Fence,1,1,13.1,926,8.9072608,5.0344,5,1.148,203.45,0.647333497,1.761773402,0.958561618,0.160712612,0.642499172
53,gilb.za,Control,0,0,13.1,926,8.9072608,5.0344,5,1.196,213,0.661267606,2.126857822,1.225403059,0.121460518,0.779994245
54,gilb.za,Fence,1,0,13.1,926,8.9072608,5.0344,5,1.18,258.65,0.835105355,2.109483066,1.163256357,0.146866746,0.799359963
55,gilb.za,NPK,0,1,13.1,926,8.9072608,5.0344,5,1.183,278.55,0.784060312,2.632186183,1.510955438,0.211684451,0.909546294
56,gilb.za,Control,0,0,13.1,926,8.9072608,5.0344,5,1.09,181.75,0.99,1.57529,0.91,0.06957,0.59572
57,gilb.za,Fence,1,0,13.1,926,8.9072608,5.0344,5,1.167,273.25,0.610247027,2.211082732,1.380638566,0.088860437,0.741583729
58,gilb.za,NPK_Fence,1,1,13.1,926,8.9072608,5.0344,5,1.138,292.2,0.68908282,2.384033344,1.322248628,0.186911223,0.874873493
59,gilb.za,Control,0,0,13.1,926,8.9072608,5.0344,5,1.207,281.85,0.412630832,1.684815819,1.126825175,0.103336181,0.454654462
60,gilb.za,NPK,0,1,13.1,926,8.9072608,5.0344,5,1.104,275.75,0.795104261,2.415604116,1.431403483,0.172064766,0.812135868
61,gilb.za,Fence,1,0,13.1,926,8.9072608,5.0344,5,1.096,186.15,0.899006178,1.846264895,0.899184152,0.157483267,0.789597476
62,gilb.za,NPK_Fence,1,1,13.1,926,8.9072608,5.0344,5,1.107,350.4,0.713898402,2.391817798,1.342683501,0.14401173,0.905122567
63,hall.us,Control,0,0,13.6,1282,8.16152504,14.2941,5,0.121,624.5,0.6193755,2.486426253,1.110227442,0.206764078,1.169434734
64,hall.us,Control,0,0,13.6,1282,8.16152504,14.2941,5,0.11,354.8,0.380214205,2.277555406,1.038639148,0.185528056,1.053388202
65,hall.us,Fence,1,0,13.6,1282,8.16152504,14.2941,5,0.117,646.4,0.366955446,2.397812727,0.998701142,0.114507999,1.284603586
66,hall.us,Fence,1,0,13.6,1282,8.16152504,14.2941,5,0.127,558.8,0.216356478,2.202380059,1.102076775,0.100398333,0.999904951
67,hart.us,Fence,1,0,7.4,272,7.5776255,2.0153,11,0.171,14.8,0.533783784,2.387355892,1.155925,0.270380626,0.961050267
68,hart.us,NPK,0,1,7.4,272,7.5776255,2.0153,11,0.159,252.1,0.99,2.321390433,1.0012642,0.1822859,1.137840333
69,hart.us,NPK_Fence,1,1,7.4,272,7.5776255,2.0153,11,0.087,136.6,0.531844802,2.833084336,1.254278957,0.245601233,1.333204145
